id,"public_id","title_en","title_cy","description_en","description_cy",parent_id,"created_at","updated_at",ordinal,"image","title_tag_en","title_tag_cy","preview_image",navigation
417,"taking-control-of-debt","Taking control of debt","Cymryd rheolaeth ar ddyled","Where to get free debt advice, how to speak to the people you owe money to, and tips to help you pay back your debts in the right order.","Ble i fynd i gael cyngor rhad ac am ddim ar ddyledion, sut i siarad â'r bobl y mae arnoch arian iddynt, ac awgrymiadau i'ch helpu i ad-dalu'ch dyledion yn y drefn iawn.",415,"2014-05-20 14:25:47","2014-05-21 13:51:15",1,"","","","",1
418,"mortgage-and-rent-problems","Mortgage and rent problems","Problemau morgais a rhent","Help if you're struggling with your mortgage or rent payments and information on government support if you can't pay your mortgage.","Cymorth os ydych yn profi anawsterau gyda'ch taliadau morgais neu rent a gwybodaeth ar gymorth gan y llywodraeth os na allwch dalu'ch morgais.",415,"2014-05-20 14:25:47","2014-05-21 13:52:08",2,"","","","",1
419,"help-with-loans","Help with loans","Cymorth gyda benthyciadau","Learn about how personal loans work, better alternatives to payday loans, and help when borrowing from a credit union.","Dysgwch am sut mae benthyciadau personol yn gweithio, dewisiadau eraill gwell na benthyciadau diwrnod cyflog, a chymorth wrth fenthyca gan undeb credyd.",415,"2014-05-20 14:25:47","2014-05-21 13:53:18",3,"","","","",1
420,"credit-cards-and-credit-ratings","Credit cards and credit ratings","Cardiau credyd a statws credyd","Find out how to manage a credit card, how to check your credit report, and tips on how you can improve your credit rating.","Dysgwch sut i reoli cerdyn credyd, sut i wirio'ch adroddiad credyd, ac awgrymiadau ynghylch sut y gallwch wella'ch statws credyd.",415,"2014-05-20 14:25:47","2014-05-21 13:53:33",4,"","","","",1
421,"budgeting-and-managing-money","Budgeting and managing money","Cyllidebu a rheoli arian","Advice on running a bank account, planning your finances, and cutting costs","Cyngor ar redeg cyfrif banc, cynllunio'ch arian, a thorri ar gostau",NULL,"2014-05-23 17:42:36","2014-07-21 14:19:59",2,"","","","",1
422,"running-a-bank-account","Running a bank account","Rhedeg cyfrif banc","Find out how to manage a bank account, from paying money in to keeping track of interest and charges.","Dysgwch sut i reoli cyfrif banc, o dalu arian i mewn i gadw llygad ar log a ffioedd.",421,"2014-05-23 17:42:36","2014-05-29 16:27:09",0,"","","","",1
423,"managing-money","Managing money","Rheoli arian","See how you can make your money go further and use our Budget planner to discover how much cash you have coming in and what you're spending it on.","Gwiriwch sut y gallwch wneud i'ch arian fynd ymhellach a defnyddiwch ein Cynllunyddcyllideb i weld faint o arian sydd gennych yn dod i mewn ac ar beth yr ydych yn ei wario.",421,"2014-05-23 17:42:36","2014-05-30 08:52:36",1,"","","","",1
424,"student-and-graduate-money","Student and graduate money","Arian myfyrwyr a graddedigion","Help with preparing your child for student life, including tips on budgeting at college or university.","Cymorth gyda pharatoi eich plentyn ar gyfer bywyd myfyrwyr, gan gynnwys awgrymiadau ar gyllidebu yn y coleg neu'r brifysgol.",421,"2014-05-23 17:42:36","2014-07-24 10:20:33",2,"","","","",1
425,"cutting-costs","Cutting costs","Torri costau","Help with trimming your energy, home phone and broadband bills, and tips on getting holidays for less.","Cymorth gyda thorri'ch biliau ynni, ffôn cartref a band eang, ac awgrymiadau ynghylch cael gwyliau am lai o arian.",421,"2014-05-23 17:42:36","2014-05-23 17:42:36",3,NULL,"","",NULL,1
427,"births-deaths-and-family","Births, deaths and family","Genedigaethau, marwolaethau a theulu","Having a baby, making a will, and dealing with divorce and separation","Cael babi, gwneud ewyllys, ac ymdrin ag ysgaru a gwahanu",NULL,"2014-06-03 14:49:37","2014-07-21 13:36:47",6,"","","","",1
